a			 K K K
bachelor			 K K K
back			 K K K
background			 K K K
backward			 K K K
bacon			 K K K
bacterium			 N N N
bad			 K K K
badge			 U U N
badly			 K K K
badminton			 K K K
bag			 K K K
baggage			 U K K
bait			 U U N
bake			 N N N
balance			 K K K
balcony			 U U U
bald			 U U N
ball			 K K K
ballet			 K K K
balloon			 K K K
ballot			 U U N
ban			 K K K
banana			 K K K
band			 K K K
bandage			 K K K
bang			 K K K
bank			 K K K
bankrupt			 K K K
banner			 K K K
banquet			 K K K
bar			 K K K
barbecue			 U N N
barber			 U N N
bare			 U N N
barely			 U N N
bargain			 K K K
bark			 K K K
barn			 K K K
barrel			 K K K
barren			 K K K
barrier			 K K K
base			 K K K
baseball			 K K K
basement			 K K K
basic			 K K K
basin			 U U U
basis			 K K K
basket			 K K K
basketball			 K K K
bat			 K K K
batch			 K K K
bath			 K K K
bathe			 K K K
bathroom			 K K K
battery			 K K K
battle			 K K K
bay			 K K K
be			 K K K
beach			 N N N
beam			 K K K
bean			 K K K
bear			 N N N
beard			 K K K
bearing			 U N N
beast			 K K K
beat			 K K K
beautiful			 K K K
beauty			 K K K
because			 K K K
become			 K K K
bed			 K K K
bee			 K K K
beef			 K K K
beer			 K K K
before			 K K K
beforehand			 K K K
beg			 K K K
begin			 K K K
beginning			 K K K
behalf			 K K K
behave			 U U N
behavior			 K K K
behind			 K K K
being			 K K K
belief			 K K K
believe			 K K K
bell			 K K K
belly			 K K K
belong			 K K K
beloved			 K K K
below			 K K K
belt			 U K K
bench			 K K K
bend			 K K K
beneath			 K K K
beneficial			 K K K
benefit			 K K K
benign			 K K K
beside			 K K K
besides			 U N N
best			 K K K
bet			 U N N
betray			 K K K
better			 K K K
between			 K K K
beverage			 K K K
beware			 K K K
bewilder			 N N N
beyond			 K K K
bias			 K K K
Bible			 K K K
bibliography			 K K K
bicycle			 K K K
bid			 K K K
big			 K K K
bill			 K K K
billion			 K K K
bin			 K K K
bind			 K K K
biography			 K K K
biology			 K K K
bird			 K K K
birth			 K K K
birthday			 K K K
biscuit			 U U U
bite			 K K K
bitter			 U U U
bizarre			 N N N
black			 K K K
blackboard			 K K K
blackmail			 K K K
blade			 K K K
NULL			 K K K
blame			 U N N
blank			 K K K
blanket			 N N N
blast			 U N N
blaze			 K K K
bleak			 N N N
bleed			 K K K
blend			 K K K
bless			 N N N
blind			 K K K
block			 K K K
blood			 K K K
bloody			 K K K
bloom			 K K K
blossom			 K K K
blouse			 K K K
blow			 N N N
blue			 K K K
blueprint			 K K K
blunder			 U U U
blunt			 K K K
blur			 N N N
blush			 N N N
board			 N N N
boast			 K K K
