a			 K
biography			 K
biology			 K
bird			 K
birth			 K
birthday			 K
biscuit			 U
bite			 K
bitter			 U
bizarre			 N
black			 K
blackboard			 K
blackmail			 K
blade			 K
			 K
blame			 U
blank			 K
blanket			 N
blast			 U
blaze			 K
bleak			 N
bleed			 K
blend			 K
bless			 N
blind			 K
block			 K
blood			 K
bloody			 K
bloom			 K
blossom			 K
blouse			 K
blow			 N
blue			 K
blueprint			 K
blunder			 U
blunt			 K
blur			 N
blush			 N
board			 N
boast			 K
boat			 K
body			 K
boil			 U
bold			 K
bolt			 K
bomb			 K
bond			 K
bone			 N
bonus			 K
book			 K
boom			 U
boost			 K
boot			 K
booth			 K
border			 K
bore			 K
born			 K
borrow			 K
bosom			 K
boss			 K
both			 K
bother			 N
bottle			 K
bottom			 K
bounce			 K
bound			 K
boundary			 K
bow			 K
bowel			 U
bowl			 U
bowling			 U
box			 K
boy			 K
boycott			 K
brace			 K
bracket			 U
brain			 K
brake			 N
branch			 K
brand			 K
brandy			 K
brass			 U
brave			 K
breach			 U
bread			 U
breadth			 K
break			 K
breakdown			 K
breakfast			 K
breast			 U
breath			 K
breathe			 K
breed			 U
breeze			 K
bribe			 U
brick			 K
bride			 U
bridge			 K
brief			 U
briefcase			 K
bright			 K
brilliant			 K
brim			 U
bring			 K
brisk			 U
brittle			 U
broad			 K
broadcast			 K
brochure			 U
bronze			 U
brook			 U
broom			 U
brother			 K
brow			 U
brown			 U
browse			 U
bruise			 U
brush			 K
brutal			 N
bubble			 K
bucket			 N
bud			 U
budget			 K
buffet			 U
bug			 K
build			 K
building			 K
bulb			 U
bulk			 U
bull			 U
bullet			 K
bulletin			 U
bully			 U
bump			 U
bunch			 K
bundle			 K
burden			 K
bureau			 K
bureaucracy			 K
burglar			 U
burn			 K
burst			 U
bury			 U
bus			 K
bush			 U
business			 K
busy			 K
but			 K
butcher			 U
butter			 K
butterfly			 K
button			 K
buy			 K
by			 K
bypass			 N
cab			 U
cabbage			 U
cabin			 K
cabinet			 K
cable			 N
cafe			 K
cafeteria			 U
cage			 U
cake			 K
calcium			 U
calculate			 K
calendar			 K
call			 K
calm			 N
calorie			 K
camel			 K
camera			 U
camp			 U
campaign			 K
campus			 U
can			 K
canal			 U
cancel			 K
cancer			 K
candidate			 K
candle			 U
candy			 K
cannon			 K
canoe			 U
canteen			 U
canvas			 K
cap			 K
capable			 K
capacity			 K
cape			 U
capital			 N
capitalism			 K
capsule			 K
captain			 U
captive			 U
capture			 K
car			 K
carbohydrate			 U
carbon			 U
card			 K
cardinal			 U
care			 K
career			 K
careful			 K
caress			 N
cargo			 K
carpenter			 K
carpet			 U
carriage			 N
carrier			 K
carrot			 K
carry			 K
cart			 K
cartoon			 K
carve			 K
case			 K
cash			 K
cashier			 K
cassette			 K
cast			 K
castle			 K
casual			 N
casualty			 N
cat			 K
catalog			 K
catastrophe			 K
catch			 K
category			 K
cater			 U
cathedral			 U
Catholic			 U
cattle			 K
cause			 N
caution			 N
cautious			 N
cave			 K
cease			 K
ceiling			 K
celebrate			 K
celebrity			 K
cell			 K
cellar			 K
cement			 U
cemetery			 U
census			 U
cent			 U
centigrade			 K
centimetre			 K
central			 K
centre			 K
century			 K
cereal			 U
ceremony			 N
certain			 K
certainly			 K
certainty			 K
certificate			 K
certify			 K
chain			 K
chair			 K
chairman			 K
chalk			 U
challenge			 K
chamber			 U
champagne			 K
			 K
champion			 K
chance			 K
chancellor			 U
change			 K
channel			 K
chaos			 N
chap			 U
chapter			 K
character			 K
characteristic			 K
characterize			 N
charge			 N
charity			 N
charm			 N
chart			 K
charter			 U
chase			 K
chat			 K
cheap			 K
cheat			 U
cheek			 U
cheer			 U
cheese			 N
chef			 U
chemical			 K
chemist			 K
chemistry			 N
cheque			 U
cherish			 U
cherry			 K
chess			 K
chest			 U
chew			 N
chicken			 K
chief			 K
child			 K
childhood			 K
chill			 U
chimney			 U
chin			 U
china			 K
chip			 N
chocolate			 K
choice			 K
choke			 U
choose			 K
chop			 K
chorus			 U
Christ			 U
Christian			 U
Christmas			 K
chronic			 K
church			 N
cigar			 K
cigaret			 K
cinema			 K
circle			 K
circuit			 K
circular			 K
circulate			 N
circumference			 U
circus			 N
cite			 K
citizen			 U
city			 K
civil			 K
civilian			 K
civilization			 K
civilize			 K
claim			 N
clap			 K
clarify			 K
clarity			 K
clash			 K
clasp			 K
class			 K
classic			 K
classical			 K
classification			 K
classify			 K
classmate			 K
classroom			 K
clause			 U
claw			 U
clay			 U
clean			 K
clear			 K
clergy			 U
clerk			 U
clever			 K
click			 K
client			 K
cliff			 K
climate			 K
climax			 K
climb			 K
cling			 N
clinic			 U
clip			 K
cloak			 U
clock			 K
clockwise			 K
clone			 K
close			 K
closet			 K
cloth			 K
clothe			 N
clothes			 K
clothing			 N
cloud			 K
cloudy			 N
club			 K
clue			 K
clumsy			 U
cluster			 K
clutch			 N
coach			 K
coal			 U
coalition			 U
coarse			 U
coast			 U
coat			 U
cocaine			 K
cock			 K
code			 K
coffee			 K
cognitive			 K
coherent			 U
cohesive			 U
coil			 U
coin			 K
coincide			 K
coincidence			 K
coke			 U
cold			 K
collaborate			 K
collapse			 K
collar			 U
colleague			 K
collect			 K
collection			 K
collective			 K
college			 K
collide			 U
collision			 K
colonel			 U
colonial			 U
colony			 U
color			 K
column			 K
comb			 K
combat			 K
combination			 K
combine			 K
come			 K
comedy			 K
comfort			 K
comfortable			 K
comic			 U
command			 K
commemorate			 K
commence			 U
commend			 U
comment			 K
commerce			 U
commercial			 U
commission			 U
commit			 U
committee			 K
commodity			 K
common			 K
commonplace			 U
commonwealth			 U
communicate			 K
communication			 K
communism			 U
community			 K
commute			 K
compact			 K
companion			 K
company			 K
comparable			 K
comparative			 K
compare			 K
comparison			 N
compartment			 U
compass			 K
compassion			 U
compatible			 U
compel			 K
compensate			 N
compensation			 U
compete			 K
competent			 N
competition			 N
competitive			 K
compile			 K
complain			 K
complaint			 K
complement			 U
complete			 K
complex			 K
complicate			 K
complicated			 K
complication			 N
compliment			 U
comply			 U
component			 K
compose			 K
composite			 U
composition			 U
compound			 U
comprehend			 U
comprehension			 K
comprehensive			 N
compress			 U
comprise			 U
compromise			 U
compulsory			 U
compute			 K
computer			 K
comrade			 U
conceal			 U
concede			 K
conceive			 N
concentrate			 U
concentration			 U
concept			 K
concern			 K
concerning			 K
concert			 K
concession			 K
concise			 U
conclude			 K
conclusion			 K
concrete			 U
condemn			 U
condense			 U
condition			 K
conduct			 K
conductor			 K
confer			 U
conference			 U
confess			 U
confidence			 K
confident			 K
confidential			 K
confine			 U
confirm			 K
conflict			 K
			 K
conform			 N
confront			 K
confuse			 K
confusion			 K
congratulate			 N
congratulation			 K
congress			 N
conjunction			 K
connect			 K
connection			 K
conquer			 K
conquest			 K
conscience			 K
conscientious			 K
conscious			 K
consecutive			 N
consensus			 K
consent			 K
consequence			 N
consequently			 K
conservation			 K
conservative			 K
consider			 K
considerable			 K
considerate			 K
consideration			 K
consist			 K
consistent			 K
console			 N
consolidate			 N
conspicuous			 U
conspiracy			 N
constant			 K
constituent			 N
constitute			 U
constitution			 U
constrain			 K
construct			 K
construction			 N
consult			 K
consultant			 K
consume			 K
consumption			 K
contact			 K
contain			 K
container			 K
contaminate			 U
contemplate			 K
contemporary			 K
contempt			 U
contend			 U
content			 K
contest			 N
context			 K
continent			 U
continual			 K
continue			 K
continuous			 K
contract			 K
contradict			 K
contradiction			 K
contrary			 U
contrast			 U
contribute			 K
contribution			 K
contrive			 N
control			 K
controversial			 N
controversy			 N
convenience			 K
convenient			 K
convention			 U
conventional			 U
conversation			 K
conversely			 U
conversion			 U
convert			 K
convey			 K
convict			 K
conviction			 K
convince			 K
cook			 K
cool			 K
cooperate			 K
cooperative			 K
coordinate			 K
coordinate			 K
cop			 K
cope			 U
copper			 U
copy			 K
copyright			 K
cord			 U
cordial			 U
core			 K
corn			 N
corner			 K
corporation			 N
correct			 K
correlate			 N
correspond			 K
correspondence			 K
correspondent			 K
corresponding			 K
corridor			 U
corrode			 U
corrupt			 U
cosmic			 K
cost			 K
costly			 K
costume			 K
cosy			 U
cottage			 U
cotton			 U
couch			 K
cough			 U
could			 K
council			 N
counsel			 K
count			 K
counter			 K
counterpart			 K
country			 K
countryside			 K
county			 K
couple			 K
coupon			 N
courage			 K
course			 U
court			 K
courtesy			 U
courtyard			 N
cousin			 U
cover			 K
cow			 U
coward			 N
crab			 U
crack			 K
cradle			 U
craft			 K
crane			 U
crash			 N
crawl			 U
crazy			 K
cream			 K
create			 K
creative			 K
creature			 K
credential			 U
credit			 K
creep			 K
crew			 U
cricket			 U
crime			 K
criminal			 K
cripple			 U
crisis			 K
crisp			 U
criterion			 K
critic			 K
critical			 K
criticism			 K
criticize			 K
crop			 K
cross			 K
crow			 K
crowd			 N
crown			 K
crucial			 N
crude			 U
cruel			 U
cruise			 U
crush			 U
crust			 U
cry			 K
crystal			 K
cube			 N
cucumber			 U
cue			 U
cultivate			 N
culture			 K
cunning			 U
cup			 K
cupboard			 K
curb			 U
cure			 U
curiosity			 K
curious			 K
curl			 U
currency			 K
current			 K
curriculum			 U
curse			 U
curtain			 U
curve			 U
cushion			 U
custom			 K
customary			 N
customer			 N
cut			 K
cyberspace			 U
cycle			 K
cylinder			 K
daily			 K
dairy			 U
dam			 N
damage			 K
damn			 U
damp			 U
dance			 K
danger			 U
dangerous			 K
dare			 K
dark			 K
darling			 U
dash			 U
data			 K
database			 K
date			 K
daughter			 K
dawn			 K
day			 K
daylight			 K
daytime			 K
dazzle			 K
dead			 K
deadline			 K
deadly			 N
deaf			 U
deal			 K
dealer			 K
dean			 U
dear			 N
death			 K
debate			 K
debt			 K
decade			 K
decay			 U
deceit			 U
deceive			 K
December			 K
decent			 K
decide			 K
decimal			 K
decision			 K
decisive			 N
deck			 N
declaration			 K
declare			 K
decline			 K
			 K
decorate			 K
decrease			 U
dedicate			 K
deduce			 U
deduct			 U
deed			 U
deem			 U
deep			 K
deer			 K
defeat			 U
defence			 K
defect			 K
defend			 K
deficiency			 N
deficit			 K
define			 K
definite			 K
definition			 K
defy			 U
degenerate			 K
degree			 K
delay			 K
delegate			 K
delete			 K
deliberate			 U
delicate			 U
delicious			 K
delight			 U
deliver			 K
delivery			 K
demand			 K
democracy			 K
democratic			 K
demonstrate			 N
denial			 N
denote			 N
denounce			 K
dense			 N
density			 K
dental			 U
dentist			 U
deny			 K
depart			 N
department			 N
departure			 N
depend			 K
dependent			 K
depict			 N
deposit			 K
depress			 K
deprive			 U
depth			 K
deputy			 U
derive			 K
descend			 K
descendant			 N
descent			 N
describe			 K
description			 K
desert			 K
deserve			 K
design			 K
designate			 U
desirable			 N
desire			 N
desk			 K
desolate			 U
despair			 U
despatch			 U
desperate			 K
despise			 U
despite			 U
dessert			 U
destination			 K
destiny			 K
destroy			 K
destruction			 K
destructive			 K
detach			 K
detail			 K
detain			 U
detect			 U
detective			 K
detector			 K
deteriorate			 N
determine			 K
develop			 K
deviate			 U
device			 K
devil			 U
devise			 K
devote			 K
dew			 U
diagnose			 U
diagram			 N
dial			 U
dialect			 U
dialog			 N
diameter			 U
diamond			 K
diary			 U
dictate			 U
dictation			 U
dictionary			 K
die			 N
diet			 N
differ			 K
difference			 K
different			 K
differentiate			 K
difficult			 K
