a			 K K
bath			 K K
bathe			 K K
bathroom			 K K
battery			 K K
battle			 K K
bay			 K K
be			 K K
beach			 N N
beam			 K K
bean			 K K
bear			 N N
beard			 K K
bearing			 U N
beast			 K K
beat			 K K
beautiful			 K K
beauty			 K K
because			 K K
become			 K K
bed			 K K
bee			 K K
beef			 K K
beer			 K K
before			 K K
beforehand			 K K
beg			 K K
begin			 K K
beginning			 K K
behalf			 K K
behave			 U U
behavior			 K K
behind			 K K
being			 K K
belief			 K K
believe			 K K
bell			 K K
belly			 K K
belong			 K K
beloved			 K K
below			 K K
belt			 U K
bench			 K K
bend			 K K
beneath			 K K
beneficial			 K K
benefit			 K K
benign			 K K
beside			 K K
besides			 U N
best			 K K
bet			 U N
betray			 K K
better			 K K
between			 K K
beverage			 K K
beware			 K K
bewilder			 N N
beyond			 K K
bias			 K K
Bible			 K K
bibliography			 K K
bicycle			 K K
bid			 K K
big			 K K
bill			 K K
billion			 K K
bin			 K K
bind			 K K
biography			 K K
biology			 K K
bird			 K K
birth			 K K
birthday			 K K
biscuit			 U U
bite			 K K
bitter			 U U
bizarre			 N N
black			 K K
blackboard			 K K
blackmail			 K K
blade			 K K
NULL			 K K
blame			 U N
blank			 K K
blanket			 N N
blast			 U N
blaze			 K K
bleak			 N N
bleed			 K K
blend			 K K
bless			 N N
blind			 K K
block			 K K
blood			 K K
bloody			 K K
bloom			 K K
blossom			 K K
blouse			 K K
blow			 N N
blue			 K K
blueprint			 K K
blunder			 U U
blunt			 K K
blur			 N N
blush			 N N
board			 N N
boast			 K K
boat			 K K
body			 K K
boil			 U U
bold			 K K
bolt			 K K
bomb			 K K
bond			 K K
bone			 N N
bonus			 K K
book			 K K
boom			 U U
boost			 K K
boot			 K K
booth			 K K
border			 K K
bore			 K K
born			 K K
borrow			 K K
bosom			 K K
boss			 K K
both			 K K
bother			 N N
bottle			 K K
bottom			 K K
bounce			 K K
bound			 K K
boundary			 K K
bow			 K K
bowel			 U N
bowl			 U N
bowling			 U K
box			 K K
boy			 K K
boycott			 K K
brace			 K K
bracket			 U N
brain			 K K
brake			 N N
branch			 K K
brand			 K K
brandy			 K K
brass			 U U
brave			 K K
breach			 U U
bread			 U K
breadth			 K K
break			 K K
breakdown			 K K
breakfast			 K K
breast			 U U
breath			 K K
breathe			 K K
breed			 U U
breeze			 K K
bribe			 U U
brick			 K K
bride			 U K
bridge			 K K
brief			 U K
briefcase			 K K
bright			 K K
brilliant			 K K
brim			 U N
bring			 K K
brisk			 U U
brittle			 U U
broad			 K K
broadcast			 K K
brochure			 U U
bronze			 U U
brook			 U N
broom			 U U
brother			 K K
brow			 U U
brown			 U N
browse			 U N
bruise			 U U
brush			 K K
brutal			 N N
bubble			 K K
bucket			 N N
bud			 U U
budget			 K K
buffet			 U U
bug			 K K
build			 K K
building			 K K
bulb			 U U
bulk			 U N
bull			 U N
bullet			 K K
bulletin			 U U
bully			 U U
bump			 U N
bunch			 K K
bundle			 K K
burden			 K K
bureau			 K K
bureaucracy			 K K
burglar			 U U
burn			 K K
burst			 U U
bury			 U U
bus			 K K
bush			 U U
business			 K K
busy			 K K
but			 K K
butcher			 U N
butter			 K K
butterfly			 K K
button			 K K
buy			 K K
by			 K K
bypass			 N N
cab			 U U
cabbage			 U N
cabin			 K K
cabinet			 K K
cable			 N N
cafe			 K K
cafeteria			 U U
cage			 U U
cake			 K K
calcium			 U N
calculate			 K K
calendar			 K K
call			 K K
calm			 N N
calorie			 K K
camel			 K K
camera			 U N
camp			 U N
campaign			 K K
campus			 U N
can			 K K
canal			 U U
cancel			 K K
cancer			 K K
candidate			 K K
candle			 U N
candy			 K K
cannon			 K K
canoe			 U U
canteen			 U U
canvas			 K K
cap			 K K
capable			 K K
capacity			 K K
cape			 U U
capital			 N N
capitalism			 K K
capsule			 K K
captain			 U N
captive			 U N
capture			 K K
car			 K K
carbohydrate			 U U
carbon			 U U
card			 K K
cardinal			 U U
care			 K K
career			 K K
careful			 K K
caress			 N N
cargo			 K K
carpenter			 K K
carpet			 U U
carriage			 N N
carrier			 K K
carrot			 K K
carry			 K K
cart			 K K
cartoon			 K K
carve			 K K
case			 K K
cash			 K K
cashier			 K K
cassette			 K K
cast			 K K
castle			 K K
casual			 N N
casualty			 N N
cat			 K K
catalog			 K K
catastrophe			 K K
catch			 K K
category			 K K
cater			 U U
cathedral			 U U
Catholic			 U U
cattle			 K K
cause			 N N
caution			 N N
cautious			 N N
cave			 K K
cease			 K K
ceiling			 K K
celebrate			 K K
celebrity			 K K
cell			 K K
cellar			 K K
cement			 U N
cemetery			 U U
census			 U U
cent			 U U
centigrade			 K K
centimetre			 K K
