a			 K K K K
dome			 K K K K
domestic			 K K K K
dominant			 K K K K
dominate			 K K K K
donate			 U N N N
donkey			 U N N N
doom			 U U U U
door			 K K K K
doorway			 U N N N
dorm			 U U U U
dose			 U U N N
dot			 K K K K
doubt			 K K K K
dove			 U U N N
down			 K K K K
downstairs			 N N N N
downtown			 N N N N
downward			 K K K K
doze			 K K K K
dozen			 K K K K
draft			 K K K K
drag			 K K K K
dragon			 K K K K
drain			 U N N N
drama			 N N N N
dramatic			 K K K K
drastic			 U U U U
draw			 K K K K
drawback			 K K K K
drawer			 K K K K
drawing			 K K K K
dread			 U N N N
dream			 K K K K
dress			 U N N N
drift			 N N N N
drill			 U N N N
drink			 K K K K
drip			 U N N N
drive			 K K K K
driver			 K K K K
drop			 K K K K
NULL			 K K K K
drought			 U U U U
drown			 U U U U
drug			 K K K K
drum			 U U N N
drunk			 K K K K
dry			 K K K K
dubious			 N N N N
duck			 U N N N
due			 K K K K
dull			 U U U U
dumb			 U U N N
dump			 K K K K
duplicate			 K K K K
durable			 N N N N
duration			 K K K K
during			 K K K K
dusk			 U U U N
dust			 U U N N
duty			 K K K K
dwarf			 U U U N
dwell			 N N N N
dwelling			 N N N N
dye			 U U N N
dynamic			 K K K K
dynasty			 U N N N
each			 K K K K
eager			 N N N N
eagle			 U N N N
ear			 K K K K
early			 K K K K
earn			 K K K K
earnest			 K K K K
earth			 K K K K
earthquake			 K K K K
ease			 K K K K
east			 K K K K
Easter			 K K K K
eastern			 K K K K
easy			 K K K K
eat			 K K K K
ebb			 U U N N
eccentric			 K K K K
echo			 K K K K
eclipse			 K K K K
ecology			 K K K K
economic			 K K K K
economical			 K K K K
economics			 K K K K
economy			 K K K K
edge			 K K K K
edible			 K K K K
edit			 K K K K
edition			 K K K K
editor			 K K K K
editorial			 K K K K
educate			 K K K K
education			 K K K K
effect			 K K K K
effective			 K K K K
efficiency			 K K K K
efficient			 K K K K
effort			 K K K K
egg			 K K K K
ego			 U U N N
eight			 K K K K
eighteen			 K K K K
eighty			 K K K K
either			 K K K K
eject			 N N N N
elaborate			 K K K K
elapse			 K K K K
elastic			 N N N N
elbow			 K K K K
elder			 K K K K
elderly			 K K K K
elect			 K K K K
electric			 K K K K
electrical			 K K K K
electrician			 K K K K
electricity			 K K K K
electron			 K K K K
electronic			 K K K K
elegant			 K K K K
element			 K K K K
elementary			 K K K K
elephant			 K K K K
elevate			 K K K K
elevator			 K K K K
eleven			 K K K K
eligible			 K K K K
eliminate			 K K K K
elite			 K K K K
eloquent			 K K K K
else			 K K K K
elsewhere			 K K K K
e-mail			 K K K K
embark			 K K K K
embarrass			 K K K K
embassy			 K K K K
embed			 K K K K
embody			 K K K K
embrace			 K K K K
emerge			 K K K K
emergency			 K K K K
emigrate			 K K K K
eminent			 N N N N
emit			 K K K K
emotion			 K K K K
emperor			 K K K K
emphasis			 K K K K
emphasize			 K K K K
empire			 K K K K
empirical			 N N N N
employ			 K K K K
employee			 K K K K
employer			 K K K K
employment			 K K K K
empty			 K K K K
enable			 K K K K
enclose			 K K K K
enclosure			 K K K K
encounter			 K K K K
encourage			 K K K K
encyclopedia			 K K K K
end			 K K K K
endeavor			 N N N N
ending			 K K K K
endow			 N N N N
endurance			 U N N N
endure			 K K K K
enemy			 K K K K
energetic			 N N N N
energy			 K K K K
enforce			 K K K K
engage			 K K K K
engagement			 K K K K
engine			 K K K K
engineer			 K K K K
engineering			 K K K K
enhance			 K K K K
enjoy			 K K K K
enlarge			 K K K K
enlighten			 K K K K
enormous			 K K K K
enough			 K K K K
enquire			 U N N N
enrich			 K K K K
enroll			 U N N N
ensure			 N N N N
entail			 U U N N
enter			 K K K K
enterprise			 K K K K
entertain			 K K K K
entertainment			 K K K K
enthusiasm			 K K K K
enthusiastic			 K K K K
entire			 K K K K
entitle			 N N N N
entity			 K K K K
entrance			 K K K K
entrepreneur			 U N N N
entry			 U N N N
envelope			 K K K K
environment			 K K K K
envisage			 N N N N
envy			 K K K K
epidemic			 N N N N
episode			 N N N N
epoch			 U N N N
equal			 K K K K
equality			 K K K K
equation			 K K K K
equator			 K K K K
equip			 K K K K
equipment			 K K K K
equivalent			 K K K K
era			 U N N N
erase			 K K K K
erect			 N N N N
erosion			 U U U U
erroneous			 U U N N
error			 K K K K
erupt			 U N N N
escalate			 U U U N
escape			 K K K K
escort			 N N N N
especially			 K K K K
essay			 K K K K
essence			 K K K K
essential			 K K K K
establish			 K K K K
establishment			 K K K K
estate			 K K K K
esteem			 U U U U
estimate			 K K K K
eternal			 U N N N
ethnic			 K K K K
evacuate			 U U U N
evade			 U U U U
evaluate			 K K K K
evaporate			 U U U N
eve			 N N N N
even			 K K K K
evening			 K K K K
event			 K K K K
eventually			 K K K K
ever			 K K K K
every			 K K K K
everybody			 K K K K
everyday			 K K K K
everyone			 K K K K
everything			 K K K K
everywhere			 K K K K
evidence			 K K K K
evident			 K K K K
evil			 K K K K
evoke			 N N N N
evolution			 K K K K
evolve			 K K K K
exact			 K K K K
exaggerate			 U U U U
exam			 K K K K
examine			 K K K K
example			 K K K K
exceed			 K K K K
exceedingly			 N N N N
excel			 N N N N
excellent			 K K K K
except			 K K K K
exception			 K K K K
exceptional			 K K K K
excerpt			 N N N N
excess			 K K K K
excessive			 K K K K
exchange			 N N N N
excite			 N N N N
excitement			 K K K K
exciting			 K K K K
exclaim			 N N N N
exclude			 K K K K
exclusive			 K K K K
excursion			 U U N N
excuse			 K K K K
execute			 K K K K
executive			 K K K K
exemplify			 U U U N
exempt			 U U U N
exercise			 K K K K
exert			 U N N N
exhaust			 N N N N
NULL			 K K K K
exhibit			 K K K K
exhibition			 K K K K
exile			 U U U N
exist			 K K K K
existence			 K K K K
exit			 K K K K
exotic			 K K K K
expand			 K K K K
expansion			 K K K K
expect			 K K K K
expectation			 K K K K
expedition			 U N N N
expel			 U U U N
expend			 K K K K
expenditure			 K K K K
expense			 K K K K
expensive			 K K K K
experience			 K K K K
experiment			 K K K K
experimental			 K K K K
expert			 K K K K
expertise			 K K K K
expire			 K K K K
explain			 K K K K
explanation			 K K K K
explicit			 K K K K
explode			 U N N N
exploit			 U N N N
explore			 K K K K
explosion			 K K K K
explosive			 K K K K
export			 K K K K
expose			 U N N N
exposure			 U N N N
express			 N N N N
expression			 K K K K
exquisite			 U U U U
extend			 K K K K
extension			 K K K K
extensive			 K K K K
extent			 K K K K
exterior			 U N N N
external			 N N N N
extinct			 N N N N
extinguish			 N N N N
extra			 K K K K
extract			 K K K K
extraordinary			 K K K K
extravagant			 N N N N
extreme			 K K K K
eye			 K K K K
eyebrow			 K K K K
eyesight			 N N N N
fable			 U U U U
fabric			 N N N N
fabricate			 N N N N
fabulous			 N N N N
face			 K K K K
facilitate			 N N N N
facility			 N N N N
fact			 K K K K
factor			 K K K K
factory			 K K K K
faculty			 N N N N
fade			 K K K K
fail			 K K K K
failure			 K K K K
faint			 U U U N
fair			 N N N N
fairly			 N N N N
fairy			 K K K K
faith			 U N N N
faithful			 U N N N
fake			 K K K K
fall			 K K K K
false			 K K K K
fame			 U U N N
familiar			 K K K K
family			 K K K K
famine			 K K K K
famous			 K K K K
fan			 K K K K
fancy			 K K K K
fantastic			 K K K K
fantasy			 U N N N
far			 K K K K
fare			 U U N N
farewell			 K K K K
farm			 K K K K
farmer			 K K K K
farther			 K K K K
fascinate			 U N N N
fashion			 K K K K
fashionable			 K K K K
fast			 K K K K
fasten			 K K K K
fat			 K K K K
fatal			 K K K K
fate			 K K K K
father			 K K K K
fatigue			 U U U U
fault			 K K K K
faulty			 U N N N
favor			 N N N N
favorable			 N N N N
favorite			 K K K K
fax			 K K K K
fear			 K K K K
fearful			 K K K K
feasible			 K K K K
feast			 U U N N
feat			 K K K K
feather			 K K K K
feature			 K K K K
February			 K K K K
federal			 K K K K
federation			 K K K K
fee			 K K K K
feeble			 U N N N
feed			 U N N N
feedback			 K K K K
feel			 K K K K
feeling			 K K K K
fell			 K K K K
fellow			 U N N N
fellowship			 K K K K
female			 K K K K
feminine			 U U N N
fence			 K K K K
ferry			 U U U N
fertile			 N N N N
fertilizer			 N N N N
festival			 K K K K
fetch			 N N N N
feudal			 U U U N
fever			 U N N N
few			 K K K K
fiber			 K K K K
fiction			 U U U N
field			 K K K K
fierce			 N N N N
fifteen			 K K K K
fifty			 K K K K
fight			 K K K K
figure			 K K K K
file			 K K K K
fill			 K K K K
film			 K K K K
filter			 K K K K
final			 K K K K
finally			 K K K K
finance			 K K K K
financial			 K K K K
find			 K K K K
finding			 K K K K
fine			 K K K K
finger			 U N N N
finish			 K K K K
finite			 K K K K
fire			 U N N N
fireman			 K K K K
fireplace			 U U U N
firm			 K K K K
first			 K K K K
fish			 K K K K
fisherman			 K K K K
fist			 U U U U
fit			 K K K K
fitting			 K K K K
five			 K K K K
fix			 K K K K
fixture			 N N N N
flag			 K K K K
flame			 U N N N
flap			 U U U N
flare			 U N N N
flash			 U N N N
flat			 K K K K
flatter			 K K K K
flavor			 U U U U
flaw			 U U U U
flee			 U N N N
fleet			 U U U N
flesh			 U U N N
flexible			 K K K K
flight			 U N N N
fling			 U U U U
float			 K K K K
flock			 U U U N
flood			 K K K K
floor			 K K K K
flour			 K K K K
flourish			 K K K K
flow			 U N N N
flower			 K K K K
flu			 U U U N
fluctuate			 K K K K
fluent			 K K K K
fluid			 K K K K
flush			 N N N N
fly			 K K K K
foam			 U U U N
focus			 K K K K
fog			 U N N N
fold			 K K K K
folk			 N N N N
follow			 K K K K
following			 K K K K
fond			 U N N N
food			 K K K K
fool			 K K K K
foolish			 K K K K
foot			 K K K K
football			 K K K K
footstep			 U N N N
for			 K K K K
forbid			 K K K K
force			 K K K K
fore			 U U N N
forecast			 U N N N
forehead			 U N N N
foreign			 K K K K
foreigner			 K K K K
foremost			 U N N N
foresee			 U N N N
forest			 K K K K
forever			 K K K K
forge			 U U U N
forget			 K K K K
forgive			 K K K K
fork			 K K K K
form			 K K K K
formal			 N N N N
format			 K K K K
formation			 U U U U
former			 K K K K
formidable			 U U U N
formula			 K K K K
formulate			 N N N N
forth			 U U N N
forthcoming			 U N N N
fortnight			 U N N N
fortunate			 U N N N
fortune			 K K K K
forty			 U N N N
forum			 U N N N
forward			 K K K K
fossil			 U U U N
foster			 U U U N
foul			 U U U N
NULL			 K K K K
found			 K K K K
foundation			 K K K K
fountain			 U U U U
four			 K K K K
fourteen			 K K K K
fox			 K K K K
fraction			 U N N N
fracture			 U N N N
fragile			 U U U U
fragment			 K K K K
fragrant			 U U U U
frame			 N N N N
framework			 K K K K
frank			 K K K K
fraud			 U N N N
free			 K K K K
freedom			 K K K K
freeze			 K K K K
freight			 U U U U
frequency			 K K K K
frequent			 K K K K
fresh			 K K K K
friction			 U U U N
Friday			 K K K K
fridge			 U U U U
friend			 K K K K
friendly			 K K K K
friendship			 K K K K
fright			 U U U N
frighten			 U N N N
fringe			 U U U N
frog			 K K K K
from			 K K K K
front			 K K K K
frontier			 N N N N
frost			 U U U U
frown			 N N N N
fruit			 K K K K
fruitful			 N N N N
frustrate			 U N N N
fry			 K K K K
fuel			 N N N N
fulfill			 N N N N
full			 K K K K
fume			 U U U U
fun			 K K K K
function			 K K K K
fund			 K K K K
fundamental			 K K K K
funeral			 U N N N
funny			 K K K K
fur			 U U U U
furious			 U N N N
furnace			 U U U N
furnish			 U N N N
furniture			 U U U U
further			 U N N N
furthermore			 K K K K
fuse			 U U U U
fuss			 U N N N
futile			 U U U N
future			 K K K K
gain			 K K K K
galaxy			 K K K K
gallery			 U U U N
gallon			 U N N N
gallop			 U U U U
gamble			 K K K K
game			 K K K K
gang			 U U U N
gaol			 U U U U
gap			 K K K K
garage			 U U U U
garbage			 K K K K
garden			 K K K K
garlic			 U U U N
garment			 U U U N
gas			 K K K K
gasoline			 K K K K
gasp			 N N N N
gate			 K K K K
gather			 K K K K
gauge			 K K K K
gay			 K K K K
gaze			 K K K K
gear			 N N N N
gender			 K K K K
gene			 K K K K
general			 K K K K
generalize			 N N N N
generate			 K K K K
generation			 K K K K
generator			 K K K K
generous			 K K K K
genetic			 N N N N
genius			 K K K K
gentle			 U N N N
gentleman			 K K K K
gently			 U N N N
genuine			 K K K K
geography			 K K K K
geology			 K K K K
geometry			 K K K K
germ			 K K K K
gesture			 K K K K
get			 K K K K
ghost			 K K K K
giant			 K K K K
gift			 K K K K
gigantic			 K K K K
giggle			 K K K K
girl			 K K K K
give			 K K K K
glad			 N N N N
glamor			 N N N N
glance			 K K K K
glare			 N N N N
glass			 K K K K
glide			 N N N N
glimpse			 U N N N
glitter			 K K K K
global			 K K K K
globe			 K K K K
gloomy			 N N N N
glorious			 K K K K
glory			 K K K K
glove			 K K K K
glow			 N N N N
glue			 K K K K
go			 K K K K
goal			 K K K K
goat			 U N N N
god			 K K K K
gold			 K K K K
golden			 K K K K
golf			 K K K K
good			 K K K K
goodby			 U N N N
goodness			 N N N N
goods			 K K K K
goose			 U U U U
gorgeous			 K K K K
gossip			 K K K K
govern			 K K K K
government			 K K K K
governor			 K K K K
gown			 U N N N
grab			 N N N N
grace			 U N N N
graceful			 U N N N
gracious			 U N N N
grade			 U N N N
gradual			 N N N N
graduate			 K K K K
grain			 U N N N
gramme			 U U U U
grammar			 U N N N
grand			 N N N N
grandmother			 K K K K
grant			 N N N N
grape			 K K K K
graph			 K K K K
graphic			 K K K K
grasp			 N N N N
grass			 K K K K
grateful			 N N N N
gratitude			 U U N N
grave			 K K K K
gravity			 K K K K
graze			 U U N N
grease			 N N N N
great			 K K K K
greedy			 N N N N
green			 K K K K
greenhouse			 K K K K
greet			 U N N N
greeting			 U N N N
grey			 U N N N
grief			 N N N N
grieve			 N N N N
grim			 U U U N
grin			 U N N N
grind			 K K K K
grip			 U N N N
groan			 N N N N
grocer			 K K K K
grope			 U U U N
gross			 K K K K
ground			 K K K K
group			 K K K K
grow			 K K K K
grown-up			 K K K K
growth			 K K K K
guarantee			 K K K K
guard			 K K K K
guess			 K K K K
guest			 N N N N
guidance			 K K K K
guide			 K K K K
guideline			 K K K K
guilt			 K K K K
guilty			 K K K K
guitar			 K K K K
gulf			 N N N N
gum			 K K K K
gun			 K K K K
gut			 U N N N
guy			 K K K K
gymnasium			 U U U N
habit			 N N N N
habitat			 N N N N
hail			 U N N N
hair			 K K K K
half			 K K K K
hall			 U N N N
halt			 U N N N
ham			 U U U N
hamburger			 K K K K
hammer			 U N N N
hamper			 U U U U
hand			 K K K K
handbook			 K K K K
handful			 K K K K
handicap			 U U N N
handkerchief			 U U U U
handle			 K K K K
handsome			 K K K K
handwriting			 K K K K
handy			 U N N N
hang			 N N N N
happen			 K K K K
happy			 K K K K
harassment			 U U U N
harbor			 U N N N
hard			 K K K K
harden			 K K K K
hardly			 K K K K
hardship			 N N N N
hardware			 K K K K
harm			 K K K K
harmony			 U N N N
harness			 N N N N
harsh			 U U U U
harvest			 N N N N
haste			 N N N N
hasty			 N N N N
hat			 K K K K
hatch			 U U U N
hate			 K K K K
hatred			 U U U U
NULL			 K K K K
haul			 N N N N
have			 K K K K
hawk			 U N N N
hay			 U U U N
hazard			 U N N N
he			 K K K K
head			 K K K K
headache			 K K K K
heading			 N N N N
headline			 K K K K
headmaster			 U N N N
headquarters			 U N N N
heal			 U U N N
health			 K K K K
healthy			 K K K K
heap			 K K K K
hear			 N N N N
hearing			 N N N N
heart			 K K K K
heat			 K K K K
heave			 U U U U
heaven			 U N N N
heavy			 K K K K
hedge			 U U N N
heel			 U N N N
height			 K K K K
heighten			 K K K K
heir			 U N N N
helicopter			 N N N N
hell			 K K K K
hello			 K K K K
helmet			 U N N N
help			 K K K K
helpful			 K K K K
hemisphere			 U U U U
hen			 K K K K
hence			 U N N N
henceforth			 U U U N
her			 K K K K
herb			 U U U N
herd			 U U U N
here			 K K K K
heritage			 U N N N
hero			 K K K K
heroic			 K K K K
heroin			 U U N N
heroine			 U N N N
hers			 K K K K
herself			 K K K K
hesitate			 U N N N
hi			 K K K K
hide			 K K K K
hierarchy			 N N N N
high			 K K K K
highland			 K K K K
highlight			 K K K K
highly			 K K K K
highway			 K K K K
hijack			 U N N N
hike			 U U U U
hill			 K K K K
him			 K K K K
himself			 K K K K
hinder			 U U N N
hinge			 U U U U
hint			 K K K K
hip			 N N N N
hire			 N N N N
his			 K K K K
historian			 K K K K
historic			 K K K K
historical			 K K K K
history			 K K K K
hit			 K K K K
hitherto			 K K K K
hobby			 U U U U
hoist			 U U U U
hold			 K K K K
holder			 K K K K
hole			 K K K K
holiday			 K K K K
hollow			 K K K K
holy			 K K K K
home			 K K K K
homework			 K K K K
homogeneous			 K K K K
honest			 K K K K
honey			 K K K K
honor			 K K K K
honorable			 N N N N
hook			 K K K K
hop			 U N N N
hope			 K K K K
hopeful			 K K K K
horizon			 N N N N
horizontal			 N N N N
horn			 N N N N
horrible			 K K K K
horror			 U N N N
horse			 K K K K
horsepower			 K K K K
hose			 U U U N
hospital			 K K K K
hospitality			 N N N N
host			 K K K K
hostage			 U N N N
hostess			 N N N N
hostile			 U U N N
hot			 K K K K
hotel			 K K K K
hound			 U U U N
hour			 K K K K
house			 K K K K
household			 K K K K
housewife			 K K K K
housework			 K K K K
housing			 U N N N
hover			 U U U N
how			 K K K K
however			 K K K K
howl			 U N N N
huddle			 U U U U
hug			 U U U U
huge			 K K K K
hum			 U U U U
human			 K K K K
humanity			 K K K K
humble			 U N N N
humid			 U U U U
humidity			 U U U U
humiliate			 U U U U
humor			 K K K K
humorous			 U N N N
hundred			 U N N N
hunger			 K K K K
hungry			 K K K K
hunt			 U N N N
hurl			 U U U U
hurricane			 K K K K
hurry			 K K K K
hurt			 K K K K
husband			 K K K K
hut			 U U U U
hydrogen			 K K K K
hypocrisy			 U U U N
hypothesis			 N N N N
hysterical			 N N N N
I			 K K K K
ice			 K K K K
ice-cream			 K K K K
idea			 K K K K
ideal			 K K K K
identical			 N N N N
identification			 N N N N
identify			 N N N N
identity			 N N N N
ideology			 K K K K
idiom			 K K K K
idiot			 N N N N
idle			 K K K K
if			 K K K K
ignite			 U U U N
ignorance			 K K K K
ignorant			 K K K K
ignore			 K K K K
ill			 K K K K
illegal			 K K K K
illiterate			 U U U U
illness			 K K K K
illuminate			 U U U N
illusion			 N N N N
illustrate			 N N N N
illustration			 N N N N
image			 K K K K
imaginary			 K K K K
imagination			 K K K K
imaginative			 K K K K
imagine			 K K K K
imitate			 K K K K
imitation			 K K K K
immediate			 K K K K
immense			 U N N N
immerse			 U N N N
immigrant			 U N N N
immune			 U U N N
impact			 U N N N
impair			 U U U U
impart			 U U U N
impatient			 K K K K
imperative			 N N N N
imperial			 N N N N
impetus			 U U U N
implement			 K K K K
implication			 U N N N
implicit			 K K K K
imply			 N N N N
import			 K K K K
importance			 K K K K
important			 K K K K
impose			 N N N N
impossible			 K K K K
impress			 N N N N
impression			 K K K K
impressive			 K K K K
improve			 U N N N
improvement			 U N N N
impulse			 U N N N
in			 K K K K
incentive			 U N N N
inch			 K K K K
incidence			 N N N N
incident			 N N N N
incidentally			 N N N N
incline			 U N N N
include			 K K K K
inclusive			 K K K K
income			 K K K K
incorporate			 K K K K
increase			 K K K K
increasingly			 K K K K
incredible			 K K K K
incur			 U U N N
indeed			 N N N N
independence			 K K K K
independent			 K K K K
index			 K K K K
indicate			 N N N N
indication			 N N N N
indicative			 N N N N
indifferent			 U N N N
indignant			 U N N N
indignation			 U N N N
indispensable			 U U U U
individual			 K K K K
indoor			 U U U N
induce			 U N N N
indulge			 U U U N
industrial			 N N N N
industrialize			 N N N N
industry			 N N N N
inertia			 U U U U
inevitable			 U N N N
infant			 U U U N
infect			 U U U N
infectious			 U U U U
infer			 U U U N
inference			 N N N N
inferior			 U U U U
infinite			 K K K K
inflation			 K K K K
NULL			 K K K K
influence			 K K K K
influential			 K K K K
inform			 K K K K
information			 K K K K
infrared			 K K K K
infrastructure			 K K K K
ingenious			 U U U N
ingredient			 N N N N
inhabit			 U N N N
inhabitant			 U N N N
inhale			 U U U N
inherent			 U U U N
inherit			 U N N N
inhibit			 N N N N
initial			 K K K K
initiate			 N N N N
initiative			 K K K K
inject			 U U U U
injure			 N N N N
injury			 N N N N
ink			 K K K K
inland			 K K K K
inlet			 U U U N
inn			 U U U U
inner			 N N N N
innocent			 U U U U
innovation			 U U U N
innumerable			 U U N N
input			 K K K K
inquiry			 N N N N
insect			 U N N N
insert			 K K K K
inside			 K K K K
insight			 K K K K
insist			 K K K K
inspect			 U N N N
inspiration			 U U N N
inspire			 U N N N
install			 K K K K
installation			 K K K K
installment			 K K K K
instance			 N N N N
instant			 N N N N
instantaneous			 U N N N
instead			 K K K K
instinct			 U U U U
institute			 U N N N
institution			 U U U U
instruct			 K K K K
instruction			 K K K K
instrument			 K K K K
instrumental			 K K K K
insulate			 U U N N
insult			 U N N N
insurance			 N N N N
insure			 N N N N
intact			 K K K K
integral			 N N N N
integrate			 N N N N
integrity			 N N N N
intellectual			 K K K K
intelligence			 K K K K
intelligent			 K K K K
intelligible			 U U N N
intend			 N N N N
intense			 N N N N
intensity			 N N N N
intensive			 N N N N
intention			 N N N N
interact			 K K K K
intercourse			 U U U N
interest			 K K K K
interesting			 K K K K
interface			 K K K K
interfere			 U N N N
interference			 U N N N
interim			 U U U N
interior			 U N N N
intermediate			 K K K K
intermittent			 U U U N
internal			 N N N N
international			 K K K K
internet			 K K K K
interpret			 K K K K
interrupt			 U N N N
intersection			 U N N N
interval			 K K K K
intervene			 U U U N
interview			 N N N N
intimate			 N N N N
intimidate			 U U U N
into			 K K K K
intricate			 U N N N
intrigue			 U U U N
intrinsic			 U U U N
introduce			 K K K K
introduction			 K K K K
intrude			 K K K K
intuition			 U N N N
invade			 U U U U
invalid			 K K K K
invaluable			 N N N N
invariably			 N N N N
invasion			 U U U U
invent			 U N N N
invention			 U N N N
inventory			 U U U N
inverse			 N N N N
invert			 N N N N
invest			 K K K K
investigate			 K K K K
investment			 K K K K
invisible			 K K K K
invitation			 U N N N
invite			 K K K K
involve			 K K K K
inward			 U U U U
iron			 K K K K
irony			 N N N N
irrespective			 N N N N
irrigate			 U U U N
irritate			 N N N N
island			 K K K K
isle			 K K K K
isolate			 K K K K
issue			 K K K K
it			 K K K K
item			 K K K K
its			 K K K K
itself			 K K K K
jacket			 K K K K
jam			 U U U U
January			 K K K K
jar			 K K K K
jargon			 K K K K
jaw			 N N N N
jazz			 K K K K
jealous			 K K K K
jeans			 U U N N
jet			 K K K K
jewel			 U N N N
jewelry			 K K K K
job			 K K K K
jog			 K K K K
join			 K K K K
joint			 K K K K
joke			 K K K K
jolly			 K K K K
journal			 K K K K
journalist			 K K K K
journey			 N N N N
joy			 K K K K
judge			 K K K K
judgement			 K K K K
judicial			 K K K K
jug			 U U U U
juice			 U N N N
July			 K K K K
jump			 K K K K
junction			 K K K K
June			 K K K K
jungle			 N N N N
junior			 N N N N
junk			 U N N N
jury			 K K K K
just			 K K K K
justice			 K K K K
justify			 N N N N
juvenile			 N N N N
keen			 K K K K
keep			 K K K K
kettle			 K K K K
key			 K K K K
keyboard			 K K K K
kick			 K K K K
kid			 K K K K
kidnap			 K K K K
kidney			 K K K K
kill			 K K K K
kilo			 U N N N
kilometre			 K K K K
kin			 K K K K
kind			 K K K K
kindergarten			 K K K K
kindness			 K K K K
king			 K K K K
kingdom			 K K K K
kiss			 K K K K
kit			 K K K K
kitchen			 K K K K
kite			 K K K K
knee			 K K K K
kneel			 N N N N
knife			 K K K K
knit			 K K K K
knob			 K K K K
knock			 U N N N
knot			 K K K K
know			 K K K K
knowledge			 K K K K
lab			 K K K K
label			 K K K K
labor			 K K K K
lace			 U N N N
lack			 K K K K
lad			 N N N N
ladder			 K K K K
lady			 K K K K
lag			 U N N N
lake			 K K K K
lamb			 K K K K
lame			 K K K K
lamp			 K K K K
land			 K K K K
landlady			 K K K K
landlord			 K K K K
lane			 K K K K
language			 K K K K
lantern			 K K K K
lap			 K K K K
lapse			 K K K K
laptop			 K K K K
large			 K K K K
largely			 K K K K
laser			 K K K K
lash			 U U U N
last			 K K K K
late			 K K K K
lately			 K K K K
latent			 U N N N
later			 K K K K
lateral			 U N N N
Latin			 K K K K
latitude			 K K K K
latter			 K K K K
laugh			 N N N N
laughter			 U N N N
launch			 N N N N
laundry			 U U U U
lavatory			 U N N N
law			 K K K K
lawn			 N N N N
lawyer			 U N N N
lay			 K K K K
layer			 K K K K
layman			 U U U N
layoff			 U U U N
layout			 U N N N
lazy			 K K K K
lead			 K K K K
NULL			 K K K K
leadership			 K K K K
leading			 K K K K
leaf			 K K K K
leaflet			 U N N N
league			 K K K K
leak			 N N N N
lean			 U N N N
leap			 U N N N
learn			 K K K K
learned			 U U U N
learning			 U N N N
lease			 U U U N
least			 K K K K
leather			 U U U U
leave			 K K K K
lecture			 U N N N
left			 K K K K
leg			 K K K K
legacy			 U U U N
legal			 K K K K
legend			 N N N N
legislation			 U U U N
legitimate			 U U U N
leisure			 K K K K
lemon			 K K K K
lend			 K K K K
length			 K K K K
lens			 U U U U
less			 K K K K
lesson			 K K K K
lest			 U N N N
let			 K K K K
letter			 K K K K
level			 K K K K
lever			 K K K K
levy			 K K K K
liability			 N N N N
liable			 N N N N
liberal			 U N N N
liberate			 U U N N
liberty			 U N N N
librarian			 U U U U
library			 K K K K
license			 K K K K
lick			 U U U U
lid			 U U U N
lie			 K K K K
life			 K K K K
lifetime			 K K K K
lift			 K K K K
light			 K K K K
lightning			 K K K K
like			 K K K K
likelihood			 K K K K
likely			 K K K K
likewise			 N N N N
limb			 U N N N
limit			 K K K K
limitation			 K K K K
limited			 K K K K
limp			 U U U N
line			 K K K K
linear			 K K K K
linen			 U U U U
liner			 U U U U
linger			 N N N N
linguistic			 N N N N
link			 K K K K
lion			 K K K K
lip			 U N N N
liquid			 U N N N
liquor			 U U U N
list			 K K K K
listen			 K K K K
literacy			 U N N N
literally			 N N N N
literary			 N N N N
literature			 U N N N
litre			 U U U N
litter			 U U U U
little			 K K K K
live			 K K K K
lively			 K K K K
liver			 U N N N
living			 K K K K
living-room			 K K K K
load			 K K K K
loaf			 U U U U
loan			 K K K K
lobby			 K K K K
local			 K K K K
locality			 N N N N
locate			 K K K K
location			 K K K K
lock			 K K K K
locker			 K K K K
locomotive			 U U U U
lodge			 U U N N
lofty			 K K K K
log			 K K K K
logic			 K K K K
logical			 K K K K
lonely			 K K K K
long			 K K K K
longitude			 K K K K
look			 K K K K
loom			 K K K K
loop			 K K K K
loose			 N N N N
loosen			 N N N N
lord			 N N N N
lorry			 U U U U
lose			 K K K K
loss			 K K K K
lot			 K K K K
lottery			 U U U U
loud			 K K K K
loudspeaker			 K K K K
lounge			 U U U U
love			 K K K K
lovely			 K K K K
lover			 K K K K
low			 K K K K
lower			 K K K K
loyal			 U N N N
loyalty			 U N N N
lubricate			 U U U U
luck			 K K K K
lucky			 K K K K
luggage			 U U U U
lumber			 U U U U
lump			 U U U U
lunar			 U U U U
lunch			 U N N N
lung			 U N N N
lure			 U U U U
luxury			 K K K K
machine			 K K K K
machinery			 U N N N
mad			 U N N N
madame			 U U U U
magazine			 K K K K
magic			 K K K K
magistrate			 U U U U
magnet			 K K K K
magnetic			 K K K K
magnificent			 U N N N
magnify			 K K K K
magnitude			 N N N N
maid			 U N N N
maiden			 U U U U
mail			 K K K K
main			 K K K K
mainland			 K K K K
maintain			 K K K K
maintenance			 K K K K
majesty			 U N N N
major			 K K K K
majority			 K K K K
make			 K K K K
male			 K K K K
malignant			 U U U N
mammal			 U U U U
man			 K K K K
manage			 K K K K
management			 K K K K
manager			 K K K K
maneuver			 U U N N
manifest			 U N N N
manipulate			 N N N N
mankind			 U N N N
manner			 K K K K
manual			 K K K K
manufacture			 K K K K
manuscript			 K K K K
many			 K K K K
